Phase,PCR,RH,TEMP,Plate,Well,Method,Tool,Input,Dilution,Copies,Sample Name,Detector,Task,Ct,StdDev Ct,Qty,Mean Qty,StdDev Qty,Filtered,Tm,User Defined #1
2,9/30/2021,41.2,25.7,1,A1,PCR,PCR.CTRL,CTRL,,,NTC N1,N1 Probe,Unknown,Undetermined,,,,,,,
2,9/30/2021,41.2,25.7,1,A3,CDC,NEG.CTRL,300,,,NEG.CTRL-CDC0300 N1,N1 Probe,Unknown,Undetermined,,,,,,,
2,9/30/2021,41.2,25.7,1,A5,CDC,SD,300,-4,840,SD-4-CDC0300 N1,N1 Probe,Unknown,26.7697,,,,,,,
2,9/30/2021,41.2,25.7,1,A6,CDC,SD,300,-3,"8,400",SD-3-CDC0300 N1,N1 Probe,Unknown,23.278,,,,,,,
2,9/30/2021,41.2,25.7,1,A7,CDC,SD,300,-2,"84,000",SD-2-CDC0300 N1,N1 Probe,Unknown,25.0061,,,,,,,
2,9/30/2021,41.2,25.7,1,A8,CDC,SD,300,-1,"840,000",SD-1-CDC0300 N1,N1 Probe,Unknown,20.8932,,,,,,,
2,9/30/2021,41.2,25.7,1,A10,CDC,POS.CTRL,300,-1,,POS.CTRL-CDC0300 N1,N1 Probe,Unknown,25.7424,,,,,,,
2,9/30/2021,41.2,25.7,1,A12,PCR,PCR.POS,CTRL,,,nCoV PC N1,N1 Probe,Unknown,19.628,,,,,,,
2,9/30/2021,41.2,25.7,1,B3,NTP,NEG.CTRL,300,,,NEG.CTRL-NTP0300 N1,N1 Probe,Unknown,Undetermined,,,,,,,
2,9/30/2021,41.2,25.7,1,B5,NTP,SD,300,-4,840,SD-4-NTP0300 N1,N1 Probe,Unknown,27.0992,,,,,,,
2,9/30/2021,41.2,25.7,1,B6,NTP,SD,300,-3,"8,400",SD-3-NTP0300 N1,N1 Probe,Unknown,23.7422,,,,,,,
2,9/30/2021,41.2,25.7,1,B7,NTP,SD,300,-2,"84,000",SD-2-NTP0300 N1,N1 Probe,Unknown,20.18,,,,,,,
2,9/30/2021,41.2,25.7,1,B8,NTP,SD,300,-1,"840,000",SD-1-NTP0300 N1,N1 Probe,Unknown,25.4467,,,,,,,
2,9/30/2021,41.2,25.7,1,B10,NTP,POS.CTRL,300,-1,,POS.CTRL-NTP0300 N1,N1 Probe,Unknown,25.9075,,,,,,,
2,9/30/2021,41.2,25.7,1,C1,CDC,A,300,-1,,A1-CDC0300 N1,N1 Probe,Unknown,26.6259,0.105,,,,,,
2,9/30/2021,41.2,25.7,1,C2,CDC,A,300,-1,,A1-CDC0300 N1,N1 Probe,Unknown,26.7743,0.105,,,,,,
2,9/30/2021,41.2,25.7,1,C3,CDC,A,300,-1,,A2-CDC0300 N1,N1 Probe,Unknown,27.5627,0.335,,,,,,
2,9/30/2021,41.2,25.7,1,C4,CDC,A,300,-1,,A2-CDC0300 N1,N1 Probe,Unknown,27.0894,0.335,,,,,,
2,9/30/2021,41.2,25.7,1,C5,CDC,A,300,-1,,A3-CDC0300 N1,N1 Probe,Unknown,27.1725,0.0956,,,,,,
2,9/30/2021,41.2,25.7,1,C6,CDC,A,300,-1,,A3-CDC0300 N1,N1 Probe,Unknown,27.0373,0.0956,,,,,,
2,9/30/2021,41.2,25.7,1,C7,CDC,B,300,-3,,B1-CDC0300 N1,N1 Probe,Unknown,33.8846,0.493,,,,,,
